"Username","Ristorante","Nazione","Città","Indirizzo","Latitudine","Longitudine","Stelle","Messaggio","Data","Risposta","DataRisposta"
"cliente01","ristorante02","Italia","Legnano","Piazza San Magno,9","45.5953029","8.9192421","5","stop","2025-07-06T11:50:53.170199","",""
"elena_russo","Vegana Felicità","Italia","Torino","Piazza Castello 10","45.070312","7.686856","5","Ottimo ristorante vegano!","2025-07-04T19:35:41.815350","",""
"marco_rossi","Sushi Zen Garden","Italia","Roma","Via del Corso 15","41.902782","12.496365","4","Ottimo sushi, servizio veloce.","2025-07-05T12:15:22","Grazie mille Marco! Ti aspettiamo di nuovo presto.","2025-07-05T13:00"
"elena_russo","Indian Spice","Italia","Venezia","Campo San Polo 1200","45.437135","12.33459","3","Spezie troppo forti per i miei gusti.","2025-07-05T14:22:50","Grazie per il feedback Elena, proveremo a bilanciare meglio le spezie.","2025-07-05T15:00"
"lrossetti95","Modern Bites","Italia","Firenze","Piazza della Signoria 5","43.76956","11.255814","5","Esperienza culinaria sorprendente.","2025-07-05T15:05:33","Siamo felici che ti sia piaciuto! A presto.","2025-07-05T15:40"
"marco_rossi","La Cucina di Nonna","Italia","Milano","Via Verdi 10","45.464211","9.191383","4","Piatti tradizionali ben cucinati.","2025-07-05T16:10:05","",""
"cliente01","Il Giardino Segreto","Italia","Padova","Prato della Valle 1","45.39967","11.876274","3","Cibo buono, ma porzioni piccole.","2025-07-05T18:20","",""
"lrossetti95","Fusion Delights","Italia","Bologna","Via Zamboni 30","44.494291","11.346482","4","Ottima fusione di cucine, da provare.","2025-07-05T19:11:47","Grazie per il commento positivo! Ti aspettiamo con nuove proposte!","2025-07-05T19:45"
"lrossetti95","Mare Nostrum","Italia","Bari","Corso Vittorio Emanuele II 50","41.122709","16.868772","5","Pesce freschissimo, vista spettacolare.","2025-07-05T20:10:59","",""
"cliente01","Pizzeria Bellavista","Italia","Napoli","Lungomare Caracciolo 20","40.829023","14.237277","5","La pizza migliore mai mangiata!","2025-07-05T13:45:10","Che piacere leggere queste parole! Grazie da tutto lo staff.","2025-07-05T17:10:17.397846700"
"marco_rossi","Bistrot Parisien","Italia","Verona","Via Mazzini 3","45.438384","10.99229","2","Prezzi troppo alti per la qualità.","2025-07-05T19:55:31","Ci dispiace.","2025-07-05T17:56:45.993828900"
